week_ending,observed,trend,seasonal,residual
2024-07-07,111.8,115.28,-0.29,-3.19
2024-07-14,112.8,114.44,2.65,-4.28
2024-07-21,116.1,113.59,5.34,-2.83
2024-07-28,115.3,112.78,4.97,-2.45
2024-08-04,116.4,112.14,6.38,-2.12
2024-08-11,119.4,111.71,9.29,-1.61
2024-08-18,117.2,111.31,7.09,-1.19
2024-08-25,115.2,111.01,6.22,-2.03
2024-09-01,117.5,110.79,6.15,0.55
2024-09-08,115.4,110.52,4.77,0.11
2024-09-15,114.1,110.31,4.62,-0.83
2024-09-22,112.4,110.13,1.28,0.99
2024-09-29,106.9,109.99,-1.67,-1.42
2024-10-06,109.0,109.86,-0.73,-0.13
2024-10-13,106.9,109.66,-2.7,-0.06
2024-10-20,105.3,109.51,-4.52,0.31
2024-10-27,103.6,109.4,-5.5,-0.29
2024-11-03,105.1,109.22,-3.69,-0.43
2024-11-10,106.7,109.05,-3.23,0.87
2024-11-17,108.5,108.89,-1.12,0.73
2024-11-24,113.7,108.8,3.47,1.43
2024-12-01,117.3,108.67,9.96,-1.34
2024-12-08,127.7,108.61,17.85,1.24
2024-12-15,133.5,108.52,24.94,0.04
2024-12-22,136.7,108.5,26.87,1.33
2024-12-29,132.8,108.51,23.26,1.03
2025-01-05,92.5,108.53,-17.15,1.11
2025-01-12,90.7,108.52,-19.12,1.3
2025-01-19,90.2,108.57,-17.66,-0.7
2025-01-26,93.6,108.57,-14.66,-0.31
2025-02-02,98.8,108.57,-9.82,0.04
2025-02-09,98.7,108.58,-9.4,-0.48
2025-02-16,101.5,108.57,-6.14,-0.94
2025-02-23,103.7,108.56,-6.0,1.14
2025-03-02,101.2,108.59,-6.12,-1.27
2025-03-09,102.8,108.52,-4.83,-0.89
2025-03-16,103.7,108.47,-5.11,0.34
2025-03-23,105.0,108.46,-4.54,1.08
2025-03-30,105.0,108.38,-3.38,0.0
2025-04-06,101.5,108.4,-6.9,0.0
2025-04-13,103.9,108.38,-4.48,0.0
2025-04-20,104.5,108.35,-3.85,0.0
2025-04-27,101.7,108.32,-6.62,0.0
2025-05-04,102.0,108.32,-6.32,0.0
2025-05-11,101.8,108.32,-6.52,0.0
2025-05-18,104.7,108.28,-3.58,0.0
2025-05-25,102.8,108.26,-5.46,0.0
2025-06-01,105.7,108.21,-2.51,0.0
2025-06-08,104.3,108.27,-3.97,0.0
2025-06-15,107.5,108.23,-0.73,0.0
2025-06-22,108.9,108.25,0.65,0.0
2025-06-29,109.8,108.22,1.58,0.0
2025-07-06,111.1,108.19,-0.29,3.19
2025-07-13,115.1,108.17,2.65,4.28
2025-07-20,116.3,108.14,5.34,2.83
2025-07-27,115.6,108.18,4.97,2.45
2025-08-03,116.7,108.2,6.38,2.12
2025-08-10,119.1,108.2,9.29,1.61
2025-08-17,116.5,108.22,7.09,1.19
2025-08-24,116.5,108.25,6.22,2.03
2025-08-31,113.8,108.2,6.15,-0.55
2025-09-07,112.9,108.23,4.77,-0.11
2025-09-14,113.7,108.25,4.62,0.83
2025-09-21,108.5,108.21,1.28,-0.99
2025-09-28,107.9,108.14,-1.67,1.42
2025-10-05,107.6,108.21,-0.73,0.13
2025-10-12,105.7,108.34,-2.7,0.06
2025-10-19,103.6,108.43,-4.52,-0.31
2025-10-26,103.3,108.51,-5.5,0.29
2025-11-02,105.4,108.66,-3.69,0.43
2025-11-09,104.7,108.8,-3.23,-0.87
2025-11-16,107.1,108.96,-1.12,-0.73
2025-11-23,111.1,109.05,3.47,-1.43
2025-11-30,120.5,109.2,9.96,1.34
2025-12-07,125.9,109.28,17.85,-1.24
2025-12-14,134.3,109.4,24.94,-0.04
2025-12-21,135.0,109.45,26.87,-1.33
2025-12-28,131.7,109.47,23.26,-1.03
2026-01-04,91.2,109.46,-17.15,-1.11
2026-01-11,89.0,109.41,-19.12,-1.3
2026-01-18,92.3,109.26,-17.66,0.7
2026-01-25,94.7,109.05,-14.66,0.31
2026-02-01,99.0,108.86,-9.82,-0.04
2026-02-08,99.7,108.62,-9.4,0.48
2026-02-15,103.1,108.3,-6.14,0.94
2026-02-22,100.9,108.03,-6.0,-1.14
2026-03-01,102.9,107.75,-6.12,1.27
2026-03-08,103.6,107.54,-4.83,0.89
2026-03-15,101.9,107.35,-5.11,-0.34
2026-03-22,101.5,107.11,-4.54,-1.08
